	road_name
842	Route du Pont Butin
843	Route de Vernier
844	Route de Saint-Julien 270-278
845	Pâquis-Nations
846	Route de Saint-Julien
847	Quai de Cologny
848	Rue Rothschild 40-50
849	Avenue de Châtelaine
850	Rue du Rhône 102
851	Rue Emilie-Gourd
852	Unnamed Road
853	Rue du Rhône 35
854	Chemin Dottrens 22-24
855	Rue des Bains 50-54
856	Chemin de Grange-Canal
857	E62
858	Square Clair-Matin 4-2
859	Rue de Lyon 24-30
860	Quai du Général-Guisan 36-38
861	Quai Gustave-Ador
862	Unnamed Road
863	Unnamed Road
864	Rue de la Terrassière 24-28
865	Chemin Edouard-Sarasin 18
866	Rampe du Pont-Rouge
867	Boulevard de la Tour 14
868	Unnamed Road
869	Quai Wilson 45
870	Rue de Fribourg 2-16
871	Boulevard Helvétique 14
872	E62
873	Route de Saint-Julien 171
874	Chemin François-Furet
875	Rue Ancienne 71-51
876	Rue de Saint-Jean
877	Quai du Général-Guisan 28
878	Chemin Gérard-De-Ternier 4
879	Route de Thonon 112
880	Unnamed Road
881	Unnamed Road
882	Unnamed Road
883	Route d'Aire-la-Ville 148
884	Boulevard de Saint-Georges 16
885	Unnamed Road
886	Avenue Théodore-Weber 26-32
887	Chemin Puthon
888	Rue Jean-Louis-Hugon
889	Rue du Rhône
890	Quai de Cologny 1
891	Avenue du Mail 16
892	Rue de Berne 21
893	Rue Philippe-Plantamour 18-26
894	Chemin Delay 36-48
895	Cours de Rive 10-16
896	Avenue Louis-Casaï
897	Rue de l'Athénée 7
898	Avenue Tronchet 13
899	Square de la Comédie 1
900	Pont du Mont-Blanc
901	Rue de Genève 101-91
902	Avenue Henri-Dunant
903	Route de Céligny 77-67
904	Rue Sigismond-Thalberg
905	Route de Jussy 77-75
906	Rue de Lyon 110
907	:ERROR STATUS: NOT_FOUND
908	Route d'Ambilly 39
909	Grottes - Saint-Gervais
910	Rue de Vermont
911	Route de Meyrin 5-3
912	Route du Pont Butin 12
913	E62
914	Avenue Adrien-Jeandin
915	Pont du Mont-Blanc
916	Pont du Mont-Blanc
917	E62
918	A1a
919	Avenue François-Adolphe-Grison 10-22
920	Route du Bois-des-Frères
921	Rue Ferdinand-Hodler
922	A1
923	Chemin Venel 9-7
924	Place Louis-Simond 1
925	Route de Veyrier
926	Rue des Fontaines-Saintes
927	Quai du Général-Guisan
928	Route du Grand-Lancy 52-60
929	Rue de la Mairie 3
930	Avenue du Pailly 15
931	Route des Acacias 45
932	Chemin Malombré 5-1
933	Rue des Savoises 15
934	Rue de la Servette 25-11
935	Boulevard des Promenades 1
936	Rue de Lyon 67-61
937	Rue Eugène-Marziano 23
938	Rue Sigismond-Thalberg
939	Boulevard Georges-Favon 21
940	:ERROR STATUS: NOT_FOUND
941	Rue de la Rôtisserie 2-4
942	Rue de Contamines 35-27
943	Avenue Giuseppe Motta 34-44
944	Avenue de l'Ain
945	:ERROR STATUS: NOT_FOUND
946	Tunnel de Vernier
947	Route de Saint-Julien 94-98
948	Quai du Mont-Blanc 25-21
949	Rue du Prieuré 6-18
950	Route de Chancy
951	Avenue Wendt
952	Chemin de Sous-Caran
953	Route d'Avully 107
954	Route des Acacias 33
955	Route de Chancy
956	Route de Veyrier
957	Saint-Jean - Charmilles
958	1
959	Route de La-Chapelle 37-35
960	Boulevard Georges-Favon 35
961	Route de Saint-Julien 71-69
962	Rue du Rhône 45-37
963	Quai du Général-Guisan 26
964	Chemin des Champs-Nouveaux 4
965	Route de Saint-Julien 94-98
966	Route de Peney
967	Tunnel de Vernier
968	Route des Jeunes
969	Pregny-Chambésy
970	Avenue Adrien-Jeandin
971	Quai du Mont-Blanc 25-21
972	Route des Franchises 2
