	road_name
678	Rue Rothschild 69-65
679	Quai du Général-Guisan 26
680	Avenue de France
681	Rue de la Terrassière 42-48
682	Route de l'Etraz
683	Avenue de Mategnin
684	Rue de Lyon
685	:ERROR STATUS: NOT_FOUND
686	E62
687	Rue du Valais 18-20
688	Boulevard de la Cluse 68-110
689	Rue de Saint-Jean 7-1
690	Unnamed Road
691	Rue de Jargonnant
692	Rue des Alpes 18
693	Rue du Stand 35-27
694	Route de Malagnou
695	Route du Grand-Lancy
696	1
697	Avenue Pictet-de-Rochemont 14
698	Chemin de Malagny-le-Lac 15-1
699	Rue Chabrey 12
700	Avenue Gaspard-Vallette 10-14
701	Av. de la Gare-des- Eaux-Vives 9
702	Route de Saint-Julien 4-12
703	Rue des Noirettes 7-5
704	Chemin des Fraisiers 37-23
705	Boulevard de la Tour 8-12
706	Chemin Delay
707	Route de Pré-Bois 29
708	Rue des Deux-Ponts
709	Rue de la Croix-Rouge
710	Place du Port 2
711	Route des Jeunes
712	Av. Cardinal-Mermillod 21-13
713	Rue Viollier
714	Unnamed Road
715	Rue Le-Corbusier 15
716	Avenue de la Roseraie 27-23
717	Avenue de Frontenex
718	Rue du Rhône 27-23
719	Pâquis-Nations
720	Place Albert-Thomas
721	Champel
722	Rue de Saint-Jean 68
723	Rue Caroline 41-29
724	Avenue de Thônex 35
725	Route de Vernier
726	Route de Verbois 42
727	Viaduc de l'Écu
728	Quai Ernest-Ansermet
729	Rue Antoine-Carteret 25-23
730	Quai du Général-Guisan 22-26
731	Quai du Général-Guisan 34
732	Quai des Bergues
733	Satigny
734	Route du Nant-d'Avril 58-68
735	Avenue de Bel-Air
736	Route des Jeunes 9
737	Avenue du Mail 4
738	Pont du Val-d'Arve
739	Route de Suisse 15-13
740	Route de Saint-Julien 50
741	Rue de Genève 113-103
742	Route du Nant-d'Avril 58-68
743	Unnamed Road
744	Route de Pregny
745	Avenue du Mail 26
746	Rue Jorge-Luis Borges
747	Quai Ernest-Ansermet
748	Route de Passeiry
749	Boulevard James-Fazy
750	Route de Malagnou
751	Rue Marignac 6
752	Chemin de l'Ecorcherie 22-24
753	Rue de Veyrier 17-13
754	Centre-Plainpalais-Acacias
755	Route des Jeunes 59
756	:ERROR STATUS: NOT_FOUND
757	Route de Vernier 115-113
758	Route des Acacias 27-31
759	Quai Gustave-Ador
760	Rue de la Servette 25-11
761	Route de Chancy
762	Route des Ravières 3-1
763	Rue Saint-Joseph 26-42
764	Avenue d'Aïre
765	Tranchée couverte de Saconnex-d'Arve
766	Tranchée Couverte d'Arare
767	Avenue de France
768	Boulevard du Pont-d'Arve 19-9
769	Rue Emma-Kammacher 2-6
770	Rue de la Navigation
771	Boulevard de la Tour 14
772	Route de Vernier
773	Boulevard Georges-Favon 8-12
774	Route de Meyrin 388-392
775	Rue de la Filature 23-13
776	Chemin Moïse-Duboule 18
777	Avenue des Morgines 27-17
778	Route de Meyrin
779	Rue de Jargonnant
780	Rue des Bossons
781	Rue de la Terrassière 42-48
782	Rue de l'Athénée 6-8
783	Chemin Rieu 2-4
784	Route de Troinex 2-4
785	Route de Saint-Julien
786	Grottes - Saint-Gervais
787	Avenue François-Besson 2-12
788	Unnamed Road
789	Quai Gustave-Ador 61
790	Boulevard du Pont-d'Arve 39-31
791	Quai du Général-Guisan 40-42
792	Rue de Genève 137
793	Chemin du Foron
794	Rue De-Grenus
795	Rue De-Grenus
796	Avenue Wendt 14
797	Route de Thonon 107-103
798	Route de Vernier
799	Rue de Monthoux 58-66
800	Avenue Vibert
801	Unnamed Road
802	Avenue de Riant-Parc 2-10
