	road_name
819	Rue Frank-Martin
820	Avenue d'Aïre
821	Rue de Lyon 73-69
822	Rue de Carouge 19-15
823	Unnamed Road
824	Tunnel de Vernier
825	Route de Meyrin
826	Chemin des Colombières 2-8
827	Boulevard Emile-Jaques-Dalcroze 13-11
828	Quai Gustave-Ador 62-64
829	Chemin des Eglantines 4-6
830	Cité Vieusseux
831	Geneva
832	Quai du Mont-Blanc 11-7
833	Route de Chêne 37-31
834	Square Pradier
835	Rue du Grand-Pré 45-41
836	Quai du Général-Guisan
837	Pont du Mont-Blanc
838	Route de Veyrier 40-52
839	Route du Grand-Lancy
840	Quai de Cologny
841	Avenue de Feuillasse
842	Rue Alexandre-Couronne
843	Quai Gustave-Ador 62-64
844	Boulevard du Pont-d'Arve 19-9
845	Chemin Colladon 9
846	Unnamed Road
847	Route des Jeunes 5
848	Boulevard Helvétique 23-17
849	Route des Acacias 5-9
850	Rue Du-Roveray 16-20
851	Rue du Colonel-Coutau 15-7
852	:ERROR STATUS: NOT_FOUND
853	Route des Fayards
854	1
855	Rue de Bernex 188-194
856	Rue de la Croix-Rouge
857	Rue Louis-de-Montfalcon 6-12
858	Avenue de la Jonction
859	Avenue de Crozet
860	Rue De-Grenus 3-1
861	Grottes - Saint-Gervais
862	Rue Jean-Antoine-Gautier
863	E62
864	Rue Ami-Lévrier
865	Av. de la Gare-des- Eaux-Vives 2-10
866	Avenue de la Paix 11-9
867	Rue de Varembé
868	Place des Philosophes
869	Chemin du Pommier
870	Rue du Mont-de-Sion 4
871	Route de Saint-Julien 259-255
872	E62
873	E62
874	Chemin du Foron 17
875	Avenue Soret 9-5
876	Avenue Louis-Casaï 70
877	Rue du Vieux-Chêne
878	Chemin de la Gradelle
879	Champel
880	Quai des Vernets 8
881	Avenue de l'Amandolier 27-19
882	Place de l'Octroi
883	Rue du Passage
884	Chemin Gérard-De-Ternier 18
885	Rue Petit-Senn
886	Unnamed Road
887	Chemin de la Caroline
888	Rue des Pierres-du-Niton
889	Rue de la Servette 32-36
890	Chemin des Charrotons 20
891	Rue Prévost-Martin 61-41
892	Chemin de la Mousse 63
893	Chemin Martine 2-10
894	Grottes - Saint-Gervais
895	Rue des Moulins
896	Chemin Rieu 5-3
897	Route de Lausanne 355-345
898	Place de Cornavin 7
899	Passage des Tireurs-de-Sable
900	Rue Marignac 2
901	Rue Abraham-Gevray 6-10
902	Chemin du Pré-du-Couvent 5
903	Square Pradier
904	Centre-Plainpalais-Acacias
905	Rue Guillaume-de-Marcossay 21-7
906	Rue des Vollandes 55-33
907	Avenue Pictet-de-Rochemont 9
908	Route de Chêne 93
909	Route de Saint-Julien 107-103
910	E62
911	Avenue Tronchet 4-8
912	Route de Meyrin
913	Rond-Point de Plainpalais 1
914	Chemin des Semailles 34-44
915	Voie-des-Traz
916	Pont du Val-d'Arve
917	Avenue Sainte-Cécile
918	Chemin des Hauts-Crêts 91-81
919	Boulevard Carl-Vogt 101-93
920	Rue de Lyon 106-108
921	Avenue Louis-Aubert 6
922	Boulevard Carl-Vogt 43-31
923	Rue du Vidollet 45-31
924	Rue Jacques-Dalphin
925	Avenue Adrien-Jeandin
926	Rue de la Canonnière
927	Rue de Monthoux 29-21
928	Unnamed Road
929	Route de Bellegarde 60-66
930	Rue de Berne 29-21
931	Rue de Berne 29-21
932	Route Douanière
933	Rue des Eaux-Vives 116-118
934	Chemin de la Chevillarde
935	Avenue de Thônex 68-46
936	Quai du Mont-Blanc 14
937	Route de Saint-Julien 148-150
938	Route de Saint-Julien 140
939	Route de Malagnou
940	Route de Lausanne 341-337
941	Rue de Bandol
942	Rue de Lyon 75
943	Grottes - Saint-Gervais
944	Rue du Fort-Barreau 19-13
945	Unnamed Road
946	:ERROR STATUS: NOT_FOUND
947	Rue Hugo-De-Senger 7-1
948	Unnamed Road
949	Rue Micheli-du-Crest 5
950	Chemin des Princes 163-153
951	:ERROR STATUS: NOT_FOUND
952	E62
953	Avenue Henri-Dunant 14-11
954	Rue de Montchoisy 7-3
955	Route de Meyrin 2-8
956	Rue de Lyon 73-69
957	Route de Loëx
958	Route du Pont Butin 55-45
959	Boulevard Helvétique 4-6
960	Unnamed Road
961	Route de Suisse 11
962	Route de Pré-Bois
963	Quai Gustave-Ador 11-7
964	Route de Malagnou 29-27
965	Chemin des Poteaux 4-6
966	Chemin Etienne-Chennaz 4-12
967	Chemin de Grange-Falquet 41-39
968	Boulevard Georges-Favon 8-12
969	Route de Vernier 164-166
970	Avenue de Châtelaine
971	Route de Saint-Julien
972	Route d'Hermance
973	Route de Bellegarde 28-40
974	Rue de la Servette 93-91
