ID_GM_CARREFOUR;TYPE;COMMENTAIRE;DATE_MAJ;RAYON;E;N
232071;Impasse;;2008-04-18 16:22:01;;2492377.07;1113382.87
226128;Autres carrefours;;2008-04-18 16:22:01;;2493190.56;1113538.96
227351;Autres carrefours;;2008-04-18 16:22:01;;2493241.87;1113975.37
225920;Autres carrefours;;2008-04-18 16:22:01;;2493367.14;1114116.94
225948;Autres carrefours;;2008-04-18 16:22:01;;2493873.36;1114313.62
225914;Autres carrefours;;2008-04-18 16:22:01;;2493664.65;1114062.03
225913;Autres carrefours;;2008-04-18 16:22:01;;2493580.61;1114002.69
225917;Autres carrefours;;2008-04-18 16:22:01;;2493743.66;1113938.81
225916;Autres carrefours;;2008-04-18 16:22:01;;2493653.54;1113872.03
226133;Autres carrefours;;2008-04-18 16:22:01;;2493276.25;1113447.82
226147;Autres carrefours;;2008-04-18 16:22:01;;2493017.07;1113490.33
225915;Autres carrefours;;2008-04-18 16:22:01;;2493632.83;1113908.71
224193;Autres carrefours;;2008-04-18 16:22:01;;2494086.98;1113906.29
226036;Autres carrefours;;2008-04-18 16:22:01;;2494071.54;1113932.24
226041;Autres carrefours;;2008-04-18 16:22:01;;2493966.38;1113847.12
226047;Autres carrefours;;2008-04-18 16:22:01;;2493799.83;1113820.69
226049;Autres carrefours;;2008-04-18 16:22:01;;2493728.80;1113697.09
226044;Autres carrefours;;2008-04-18 16:22:01;;2493783.95;1113673.11
226005;Autres carrefours;;2008-04-18 16:22:01;;2493815.55;1113546.88
228879;Autres carrefours;;2008-04-18 16:22:01;;2493972.25;1113616.62
227350;Autres carrefours;;2008-04-18 16:22:01;;2493866.84;1113453.80
225869;Autres carrefours;;2008-04-18 16:22:01;;2494160.60;1113041.78
225642;Autres carrefours;;2008-04-18 16:22:01;;2494460.78;1113127.71
225634;Autres carrefours;;2008-04-18 16:22:01;;2494769.66;1113192.73
225636;Autres carrefours;;2008-04-18 16:22:01;;2494710.57;1113108.21
225625;Autres carrefours;;2008-04-18 16:22:01;;2494796.31;1113013.10
227866;Autres carrefours;;2008-04-18 16:22:01;;2497972.41;1116454.74
225613;Autres carrefours;;2008-04-18 16:22:01;;2494716.89;1112660.95
224660;Autres carrefours;;2008-04-18 16:22:01;;2498471.32;1116813.71
226139;Autres carrefours;;2008-04-18 16:22:01;;2492761.83;1112941.22
226146;Autres carrefours;;2008-04-18 16:22:01;;2493074.90;1113381.21
227175;Autres carrefours;;2008-04-18 16:22:01;;2493123.82;1113291.26
226138;Autres carrefours;;2008-04-18 16:22:01;;2492999.60;1113115.06
226142;Autres carrefours;;2008-04-18 16:22:01;;2492529.21;1112888.75
227763;Autres carrefours;;2008-04-18 16:22:01;;2492461.98;1112961.08
